YEAR,WEEKDAY,PRICE
2013,Wednesday,102
2013,Wednesday,103
2013,Wednesday,103
2013,Wednesday,104
2013,Wednesday,104
2013,Wednesday,105
2013,Wednesday,106
2013,Wednesday,106
2013,Wednesday,107
2013,Wednesday,107
2013,Wednesday,108
2013,Wednesday,108
2013,Wednesday,109
2013,Wednesday,109
2013,Wednesday,111
2013,Wednesday,113
2013,Wednesday,115
2013,Wednesday,117
2013,Wednesday,118
2013,Wednesday,118
2013,Wednesday,118
2013,Wednesday,131
2013,Wednesday,131
2013,Wednesday,136
2013,Wednesday,137
2013,Wednesday,140
2013,Thursday,88
2013,Thursday,88
2013,Thursday,89
2013,Thursday,89
2013,Thursday,90
2013,Thursday,90
2013,Thursday,91
2013,Thursday,92
2013,Thursday,93
2013,Thursday,94
2013,Thursday,94
2013,Thursday,95
2013,Thursday,95
2013,Thursday,95
2013,Thursday,95
2013,Thursday,97
2013,Thursday,97
2013,Thursday,98
2013,Thursday,99
2013,Thursday,99
2013,Thursday,99
2013,Thursday,100
2013,Thursday,100
2013,Thursday,101
2013,Thursday,101
2013,Thursday,101
2013,Thursday,102
2013,Thursday,102
2013,Thursday,102
2013,Thursday,103
2013,Thursday,103
2013,Thursday,104
2013,Thursday,104
2013,Thursday,104
2013,Thursday,104
2013,Thursday,105
2013,Thursday,105
2013,Thursday,105
2013,Thursday,105
2013,Thursday,109
2013,Thursday,109
2013,Thursday,110
2013,Thursday,113
2013,Thursday,114
2013,Thursday,116
2013,Thursday,116
2013,Thursday,118
2013,Thursday,129
2013,Thursday,132
2013,Thursday,135
2013,Thursday,137
2013,Thursday,138
2013,Friday,86
2013,Friday,88
2013,Friday,89
2013,Friday,90
2013,Friday,91
2013,Friday,92
2013,Friday,92
2013,Friday,93
2013,Friday,93
2013,Friday,93
2013,Friday,94
2013,Friday,94
2013,Friday,94
2013,Friday,95
2013,Friday,96
2013,Friday,96
2013,Friday,96
2013,Friday,97
2013,Friday,97
2013,Friday,97
2013,Friday,98
2013,Friday,98
2013,Friday,99
2013,Friday,99
2013,Friday,99
2013,Friday,99
2013,Friday,100
2013,Friday,101
2013,Friday,102
2013,Friday,102
2013,Friday,103
2013,Friday,104
2013,Friday,104
2013,Friday,104
2013,Friday,105
2013,Friday,105
2013,Friday,105
2013,Friday,105
2013,Friday,106
2013,Friday,108
2013,Friday,108
2013,Friday,108
2013,Friday,118
2013,Friday,119
2013,Friday,122
2013,Friday,124
2013,Friday,127
2013,Friday,130
2013,Friday,134
2013,Friday,139
2013,Friday,140
2013,Friday,144
2013,Saturday,91
2013,Saturday,91
2013,Saturday,94
2013,Saturday,94
2013,Saturday,94
2013,Saturday,95
2013,Saturday,96
2013,Saturday,96
2013,Saturday,96
2013,Saturday,96
2013,Saturday,97
2013,Saturday,97
2013,Saturday,97
2013,Saturday,98
2013,Saturday,98
2013,Saturday,98
2013,Saturday,100
2013,Saturday,100
2013,Saturday,100
2013,Saturday,100
2013,Saturday,101
2013,Saturday,101
2013,Saturday,102
2013,Saturday,102
2013,Saturday,102
2013,Saturday,102
2013,Saturday,103
2013,Saturday,103
2013,Saturday,104
2013,Saturday,104
2013,Saturday,105
2013,Saturday,105
2013,Saturday,105
2013,Saturday,105
2013,Saturday,106
2013,Saturday,107
2013,Saturday,107
2013,Saturday,107
2013,Saturday,108
2013,Saturday,108
2013,Saturday,110
2013,Saturday,111
2013,Saturday,113
2013,Saturday,115
2013,Saturday,120
2013,Saturday,124
2013,Saturday,124
2013,Saturday,128
2013,Saturday,138
2013,Saturday,144
2013,Saturday,147
2013,Saturday,157
2013,Sunday,88
2013,Sunday,91
2013,Sunday,91
2013,Sunday,92
2013,Sunday,92
2013,Sunday,93
2013,Sunday,93
2013,Sunday,94
2013,Sunday,94
2013,Sunday,94
2013,Sunday,94
2013,Sunday,94
2013,Sunday,94
2013,Sunday,95
2013,Sunday,95
2013,Sunday,95
2013,Sunday,95
2013,Sunday,95
2013,Sunday,96
2013,Sunday,96
2013,Sunday,96
2013,Sunday,97
2013,Sunday,97
2013,Sunday,97
2013,Sunday,97
2013,Sunday,97
2013,Sunday,99
2013,Sunday,100
2013,Sunday,100
2013,Sunday,101
2013,Sunday,101
2013,Sunday,101
2013,Sunday,101
2013,Sunday,102
2013,Sunday,102
2013,Sunday,104
2013,Sunday,105
2013,Sunday,105
2013,Sunday,106
2013,Sunday,108
2013,Sunday,108
2013,Sunday,108
2013,Sunday,111
2013,Sunday,111
2013,Sunday,120
2013,Sunday,122
2013,Sunday,123
2013,Sunday,129
2013,Sunday,134
2013,Sunday,141
2013,Sunday,142
2013,Sunday,152
2014,Monday,98
2014,Monday,99
2014,Monday,99
2014,Monday,100
2014,Monday,103
2014,Monday,104
2014,Monday,104
2014,Monday,105
2014,Monday,106
2014,Monday,106
2014,Monday,106
2014,Monday,108
2014,Monday,108
2014,Monday,109
2014,Monday,110
2014,Monday,110
2014,Monday,111
2014,Monday,111
2014,Monday,111
2014,Monday,111
2014,Monday,112
2014,Monday,112
2014,Monday,112
2014,Monday,112
2014,Monday,112
2014,Monday,113
2014,Monday,113
2014,Monday,114
2014,Monday,114
2014,Monday,114
2014,Monday,116
2014,Monday,116
2014,Monday,116
2014,Monday,117
2014,Monday,118
2014,Monday,119
2014,Monday,120
2014,Monday,123
2014,Monday,124
2014,Monday,125
2014,Monday,126
2014,Monday,126
2014,Monday,130
2014,Monday,135
2014,Monday,137
2014,Monday,138
2014,Monday,139
2014,Monday,140
2014,Monday,147
2014,Monday,151
2014,Monday,153
2014,Monday,157
2014,Tuesday,100
2014,Tuesday,103
2014,Tuesday,103
2014,Tuesday,103
2014,Tuesday,104
2014,Tuesday,106
2014,Tuesday,106
2014,Tuesday,107
2014,Tuesday,107
2014,Tuesday,107
2014,Tuesday,107
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,109
2014,Tuesday,110
2014,Tuesday,110
2014,Tuesday,111
2014,Tuesday,113
2014,Tuesday,114
2014,Tuesday,114
2014,Tuesday,114
2014,Tuesday,114
2014,Tuesday,115
2014,Tuesday,115
2014,Tuesday,115
2014,Tuesday,116
