YEAR,DATE,PRICE
2013,2013-03-31,120
2013,2013-04-01,117
2013,2013-04-02,118
2013,2013-04-03,118
2013,2013-04-04,127
2013,2013-04-05,120
2013,2013-04-06,123
2013,2013-04-07,115
2013,2013-04-08,123
2013,2013-04-09,118
2013,2013-04-10,113
2013,2013-04-11,118
2013,2013-04-12,113
2013,2013-04-13,108
2013,2013-04-14,109
2013,2013-04-15,113
2013,2013-04-16,113
2013,2013-04-17,116
2013,2013-04-18,119
2013,2013-04-19,115
2013,2013-04-20,108
2013,2013-04-21,107
2013,2013-04-22,112
2013,2013-04-23,102
2013,2013-04-24,109
2013,2013-04-25,105
2013,2013-04-26,111
2013,2013-04-27,108
2013,2013-04-28,106
2013,2013-04-29,113
2013,2013-04-30,107
2013,2013-05-01,105
2013,2013-05-02,105
2013,2013-05-03,107
2013,2013-05-04,101
2013,2013-05-05,115
2013,2013-05-06,101
2013,2013-05-07,111
2013,2013-05-08,105
2013,2013-05-09,108
2013,2013-05-10,105
2013,2013-05-11,102
2013,2013-05-12,101
2013,2013-05-13,109
2013,2013-05-14,96
2013,2013-05-15,95
2013,2013-05-16,105
2013,2013-05-17,107
2013,2013-05-18,94
2013,2013-05-19,108
2013,2013-05-20,110
2013,2013-05-21,101
2013,2013-05-22,101
2013,2013-05-23,101
2013,2013-05-24,106
2013,2013-05-25,91
2013,2013-05-26,95
2013,2013-05-27,101
2013,2013-05-28,103
2013,2013-05-29,99
2013,2013-05-30,104
2013,2013-05-31,108
2013,2013-06-01,105
2013,2013-06-02,98
2013,2013-06-03,102
2013,2013-06-04,101
2013,2013-06-05,104
2013,2013-06-06,108
2013,2013-06-07,105
2013,2013-06-08,96
2013,2013-06-09,103
2013,2013-06-10,107
2013,2013-06-11,99
2013,2013-06-12,104
2013,2013-06-13,105
2013,2013-06-14,105
2013,2013-06-15,101
2013,2013-06-16,105
2013,2013-06-17,102
2013,2013-06-18,117
2013,2013-06-19,109
2013,2013-06-20,104
2013,2013-06-21,104
2013,2013-06-22,92
2013,2013-06-23,110
2013,2013-06-24,98
2013,2013-06-25,100
2013,2013-06-26,102
